id;code;description
1;1-100;Klinische Untersuchung in Allgemeinanästhesie
2;1-202;Diagnostik zur Feststellung des irreversiblen Hirnfunktionsausfalls
3;1-202.0;Diagnostik zur Feststellung des irreversiblen Hirnfunktionsausfalls: Bei einem potenziellen Organspender
4;1-202.00;Diagnostik zur Feststellung des irreversiblen Hirnfunktionsausfalls: Bei einem potenziellen Organspender: Ohne Feststellung des irreversiblen Hirnfunktionsausfalls
5;1-202.01;Diagnostik zur Feststellung des irreversiblen Hirnfunktionsausfalls: Bei einem potenziellen Organspender: Mit Feststellung des irreversiblen Hirnfunktionsausfalls
6;1-202.1;Diagnostik zur Feststellung des irreversiblen Hirnfunktionsausfalls: Bei sonstigen Patienten
7;1-203;Invasive Funktionsdiagnostik des Nervensystems
8;1-203.0;Invasive Funktionsdiagnostik des Nervensystems: Mit Stimulationselektroden
9;1-203.1;Invasive Funktionsdiagnostik des Nervensystems: Mit Stimulationselektroden
10;1-203.2;Invasive Funktionsdiagnostik des Nervensystems: Mit pharmakologischer Testung
11;1-203.x;Invasive Funktionsdiagnostik des Nervensystems: Sonstige
12;1-203.y;Invasive Funktionsdiagnostik des Nervensystems: N.n.bez.
13;1-204;Untersuchung des Liquorsystems
14;1-204.0;Untersuchung des Liquorsystems: Messung des Hirndruckes
15;1-204.1;Untersuchung des Liquorsystems: Messung des lumbalen Liquordruckes
16;1-204.2;Untersuchung des Liquorsystems: Lumbale Liquorpunktion zur Liquorentnahme
17;1-204.3;Untersuchung des Liquorsystems: Subokzipitale Liquorpunktion zur Liquorentnahme
18;1-204.4;Untersuchung des Liquorsystems: Fontanellenpunktion zur Liquorentnahme
19;1-204.5;Untersuchung des Liquorsystems: Liquorentnahme aus einem liegenden Katheter
20;1-204.6;Untersuchung des Liquorsystems: Infusionstest
21;1-204.7;Untersuchung des Liquorsystems: Pharmakologischer Test
22;1-204.x;Untersuchung des Liquorsystems: Sonstige
23;1-204.y;Untersuchung des Liquorsystems: N.n.bez.
24;1-205;Elektromyographie [EMG]
25;1-206;Neurographie
26;1-207;Elektroenzephalographie [EEG]
27;1-207.0;Elektroenzephalographie [EEG]: Routine-EEG (10-20-System)
28;1-207.1;Elektroenzephalographie [EEG]: Schlaf-EEG (10-20-System)
29;1-207.2;Elektroenzephalographie [EEG]: Video-EEG (10-20-System)
30;1-207.3;Elektroenzephalographie [EEG]: Mobiles Kassetten-EEG (10-20-System)
31;1-207.x;Elektroenzephalographie [EEG]: Sonstige
32;1-207.y;Elektroenzephalographie [EEG]: N.n.bez.
33;1-208;Registrierung evozierter Potenziale
34;1-208.0;Registrierung evozierter Potenziale: Akustisch [AEP]
35;1-208.1;Registrierung evozierter Potenziale: Früh-akustisch [FAEP/BERA]
36;1-208.2;Registrierung evozierter Potenziale: Somatosensorisch [SSEP]
37;1-208.3;Registrierung evozierter Potenziale: Früh-somatosensorisch [FSSEP]
38;1-208.4;Registrierung evozierter Potenziale: Motorisch [MEP]
39;1-208.5;Registrierung evozierter Potenziale: Spät-akustisch [CERA]
40;1-208.6;Registrierung evozierter Potenziale: Visuell [VEP]
41;1-208.7;Registrierung evozierter Potenziale: Kognitiv [KEP]
42;1-208.8;Registrierung evozierter Potenziale: Otoakustische Emissionen [OAE]
43;1-208.9;Registrierung evozierter Potenziale: Vestibulär myogen [VEMP]
44;1-208.x;Registrierung evozierter Potenziale: Sonstige
45;1-208.y;Registrierung evozierter Potenziale: N.n.bez.
46;1-209;Komplexe Diagnostik bei Spina bifida
47;1-20a;Andere neurophysiologische Untersuchungen
48;1-20a.2;Andere neurophysiologische Untersuchungen: Neurologische Untersuchung bei Bewegungsstörungen
49;1-20a.20;Andere neurophysiologische Untersuchungen: Neurologische Untersuchung bei Bewegungsstörungen: Untersuchung der Pharmakosensitivität mit quantitativer Testung
50;1-20a.21;Andere neurophysiologische Untersuchungen: Neurologische Untersuchung bei Bewegungsstörungen: Untersuchung der operativen Behandelbarkeit von Bewegungsstörungen
51;1-20a.3;Andere neurophysiologische Untersuchungen: Neurophysiologische Diagnostik bei Schwindelsyndromen
52;1-20a.30;Andere neurophysiologische Untersuchungen: Neurophysiologische Diagnostik bei Schwindelsyndromen: Elektro- und/oder Video-Nystagmographie
53;1-20a.31;Andere neurophysiologische Untersuchungen: Neurophysiologische Diagnostik bei Schwindelsyndromen: Video-Kopfimpulstest
54;1-20a.32;Andere neurophysiologische Untersuchungen: Neurophysiologische Diagnostik bei Schwindelsyndromen: Bestimmung der subjektiven visuellen Vertikalen
55;1-20a.33;Andere neurophysiologische Untersuchungen: Neurophysiologische Diagnostik bei Schwindelsyndromen: Posturographie
56;1-20b;Magnetenzephalographie [MEG]
57;1-20b.0;Magnetenzephalographie [MEG]: Zur Lokalisation epileptischer Foci
58;1-20b.1;Magnetenzephalographie [MEG]: Zur Lokalisation funktioneller Hirnareale
59;1-20b.x;Magnetenzephalographie [MEG]: Sonstige
60;1-20b.y;Magnetenzephalographie [MEG]: N.n.bez.
61;1-20c;Navigierte transkranielle Magnetstimulation [nTMS]
62;1-20c.0;Navigierte transkranielle Magnetstimulation [nTMS]: Zur Identifizierung von Hirnarealen für die Motorik (Motormapping)
63;1-20c.1;Navigierte transkranielle Magnetstimulation [nTMS]: Zur Identifizierung von Hirnarealen für die Sprache (Speechmapping)
64;1-20c.x;Navigierte transkranielle Magnetstimulation [nTMS]: Sonstige
65;1-20c.y;Navigierte transkranielle Magnetstimulation [nTMS]: N.n.bez.
66;1-20d;Hochauflösende Elektroenzephalographie [hdEEG]
67;1-20d.0;Hochauflösende Elektroenzephalographie [hdEEG]: Zur Lokalisation epileptischer Foci
68;1-20d.1;Hochauflösende Elektroenzephalographie [hdEEG]: Zur Lokalisation funktioneller Hirnareale
69;1-20d.x;Hochauflösende Elektroenzephalographie [hdEEG]: Sonstige
70;1-20d.y;Hochauflösende Elektroenzephalographie [hdEEG]: N.n.bez.
71;1-210;Nicht invasive Video-EEG-Intensivdiagnostik zur Evaluation einer Epilepsie oder eines Verdachts auf Epilepsie
72;1-211;Invasive Video-EEG-Intensivdiagnostik bei Epilepsie zur Klärung einer epilepsiechirurgischen Operationsindikation
73;1-212;Invasive intraoperative Epilepsiediagnostik
74;1-212.0;Invasive intraoperative Epilepsiediagnostik: Elektrokortikographie
75;1-212.1;Invasive intraoperative Epilepsiediagnostik: Elektrostimulation in Allgemeinanästhesie
76;1-212.2;Invasive intraoperative Epilepsiediagnostik: Elektrostimulation im Wachzustand
77;1-212.3;Invasive intraoperative Epilepsiediagnostik: Evozierte Potenziale
78;1-212.x;Invasive intraoperative Epilepsiediagnostik: Sonstige
79;1-212.y;Invasive intraoperative Epilepsiediagnostik: N.n.bez.
80;1-213;Syndromdiagnose bei komplizierten Epilepsien
81;1-220;Messung des Augeninnendruckes
82;1-220.0;Messung des Augeninnendruckes: Tages- und Nachtdruckmessung über 24 Stunden
83;1-221;Teilstationäre Augenuntersuchung bei Kindern und Jugendlichen mit der Notwendigkeit der Bewegungslosigkeit
84;1-242;Audiometrie
85;1-243;Phoniatrie
86;1-245;Rhinomanometrie
87;1-247;Olfaktometrie und Gustometrie
88;1-265;Elektrophysiologische Untersuchung des Herzens
89;1-265.0;Elektrophysiologische Untersuchung des Herzens
90;1-265.1;Elektrophysiologische Untersuchung des Herzens
91;1-265.3;Elektrophysiologische Untersuchung des Herzens
92;1-265.4;Elektrophysiologische Untersuchung des Herzens
93;1-265.5;Elektrophysiologische Untersuchung des Herzens
94;1-265.6;Elektrophysiologische Untersuchung des Herzens
95;1-265.7;Elektrophysiologische Untersuchung des Herzens
96;1-265.8;Elektrophysiologische Untersuchung des Herzens
97;1-265.9;Elektrophysiologische Untersuchung des Herzens
98;1-265.a;Elektrophysiologische Untersuchung des Herzens
99;1-265.b;Elektrophysiologische Untersuchung des Herzens
100;1-265.d;Elektrophysiologische Untersuchung des Herzens
101;1-265.e;Elektrophysiologische Untersuchung des Herzens
102;1-265.f;Elektrophysiologische Untersuchung des Herzens
103;1-265.x;Elektrophysiologische Untersuchung des Herzens
104;1-265.y;Elektrophysiologische Untersuchung des Herzens
105;1-266;Elektrophysiologische Untersuchung des Herzens
106;1-266.0;Elektrophysiologische Untersuchung des Herzens
107;1-266.1;Elektrophysiologische Untersuchung des Herzens
108;1-266.2;Elektrophysiologische Untersuchung des Herzens
109;1-266.3;Elektrophysiologische Untersuchung des Herzens
110;1-266.x;Elektrophysiologische Untersuchung des Herzens
111;1-266.y;Elektrophysiologische Untersuchung des Herzens
112;1-268;Kardiales Mapping
113;1-268.0;Kardiales Mapping: Rechter Vorhof
114;1-268.1;Kardiales Mapping: Linker Vorhof
115;1-268.2;Kardiales Mapping: Gemeinsamer Vorhof
116;1-268.3;Kardiales Mapping: Rechter Ventrikel
117;1-268.4;Kardiales Mapping: Linker Ventrikel
118;1-268.5;Kardiales Mapping: Funktionell/morphologisch univentrikuläres Herz
119;1-268.x;Kardiales Mapping: Sonstige
120;1-268.y;Kardiales Mapping: N.n.bez.
121;1-269;Magnetokardiographie
122;1-273;Rechtsherz-Katheteruntersuchung
123;1-273.1;Rechtsherz-Katheteruntersuchung: Oxymetrie
124;1-273.2;Rechtsherz-Katheteruntersuchung: Druckmessung mit Messung des Shuntvolumens
125;1-273.5;Rechtsherz-Katheteruntersuchung: Messung der pulmonalen Flussreserve
126;1-273.6;Rechtsherz-Katheteruntersuchung: Messung des Lungenwassers
127;1-273.x;Rechtsherz-Katheteruntersuchung: Sonstige
128;1-273.y;Rechtsherz-Katheteruntersuchung: N.n.bez.
129;1-274;Transseptale Linksherz-Katheteruntersuchung
130;1-274.0;Transseptale Linksherz-Katheteruntersuchung: Druckmessung
131;1-274.1;Transseptale Linksherz-Katheteruntersuchung: Oxymetrie
132;1-274.2;Transseptale Linksherz-Katheteruntersuchung: Druckmessung mit Messung des Shuntvolumens
133;1-274.3;Transseptale Linksherz-Katheteruntersuchung: Sondierung des Vorhofseptums
134;1-274.30;Transseptale Linksherz-Katheteruntersuchung: Sondierung des Vorhofseptums: Mit Nadel
135;1-274.31;Transseptale Linksherz-Katheteruntersuchung: Sondierung des Vorhofseptums: Mit Radiofrequenz-Sondierungsdraht
136;1-274.3x;Transseptale Linksherz-Katheteruntersuchung: Sondierung des Vorhofseptums: Sonstige
137;1-274.4;Transseptale Linksherz-Katheteruntersuchung: Sondierung des Ventrikelseptums
138;1-274.x;Transseptale Linksherz-Katheteruntersuchung: Sonstige
139;1-274.y;Transseptale Linksherz-Katheteruntersuchung: N.n.bez.
140;1-275;Transarterielle Linksherz-Katheteruntersuchung
141;1-275.0;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie ohne weitere Maßnahmen
142;1-275.1;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie und Druckmessung im linken Ventrikel
143;1-275.2;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie
144;1-275.3;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie
145;1-275.4;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie
146;1-275.5;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie von Bypassgefäßen
147;1-275.6;Transarterielle Linksherz-Katheteruntersuchung: Ventrikulographie mit Druckmessung im linken Ventrikel und Aortenbogendarstellung
